dict_a,dict_b,shared_headwords,affix_agrees,pct,ci95_low,ci95_high
WIL,SKD,70,16,22.9,14.6,34.0
WIL,VCP,1504,921,61.2,58.7,63.7
WIL,Apte,83,45,54.2,43.5,64.5
WIL,AP,82,43,52.4,41.8,62.9
WIL,SHS,190,114,60.0,52.9,66.7
WIL,KRM,45,10,22.2,12.5,36.3
SKD,VCP,65,61,93.8,85.2,97.6
SKD,Apte,84,77,91.7,83.8,95.9
SKD,AP,61,56,91.8,82.2,96.4
SKD,SHS,5,5,100.0,56.6,100.0
VCP,Apte,93,90,96.8,90.9,98.9
VCP,AP,97,94,96.9,91.3,98.9
VCP,SHS,206,203,98.5,95.8,99.5
VCP,KRM,15,3,20.0,7.0,45.2
Apte,AP,178,178,100.0,97.9,100.0
Apte,SHS,27,26,96.3,81.7,99.3
AP,SHS,31,31,100.0,89.0,100.0
